קוד חשבון,שם,עיר או שכונה,רחוב,טלפון בעבודה,סיווג לקוח,תאריך יצירה
5026157,אי.אם.סי.תעשיות מיקרוגל ב,פתח תקוה,"נחשון 6 א""ת סגולהפ""ת",03-9300464,,29/11/2018
5026158,"דינגו בע""מ",יבנה,תד 13082,073-7911111,,29/11/2018
5026159,הר-טוב עיבוד שבבי,תל אביב יפו,התחיה 14 יפו,03-6814874,,29/11/2018
5026160,איי.סי.אס בקרת תנועה,מגדל העמק,תד 5668,04-6546440,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
5026161,מעון מרגלית,נווה מיכאל,ד. האלה מושב,02-9919357,,29/11/2018
5026162,קליר עיצובים,אבן יהודה,האלה 29 תד 3043,09-8992376,,29/11/2018
5026163,גי'.אר.בי,שדמות מחולה,"מושב שדמות מחולה ד""נ יז",04-6099777,,29/11/2018
5026164,סולו קומניקציה,ראשון לציון,"משה לוי 11 ראשל""צ",03-952000,,29/11/2018
5026165,מכבסת המלבין,חולון,היובל 3 אזור תעשייה,03-5593427,,29/11/2018
5026166,מוסך אמיל חולון,חולון,המשביר 13,03-5568602,,29/11/2018
5026167,"ב.א. מיקרוגלים בע""מ",,רח' מרקוני גוליאלמו  10,04-8202715 ,,29/11/2018
5026168,טי.איי.סי אקססורי.ישר,ברקן,"ת.ד. 84 א""ת ברקן",03-9364380,,29/11/2018
5026169,סלע חומרי חשמל -לא לשימוש,חולון,הסדנא 13 א.תעשיה,03-5568007,,29/11/2018
5026170,"ניטסטיץ בע""מ",אור עקיבא,ההדס 1 א.ת צפוני  תד 132,04-6262875,,29/11/2018
5026172,ניצן טכנולוגיות,חולון,המלאכה 6 חולון,03-5586604,,29/11/2018
5026173,"יו.בי.טי. מדיקל בע""מ",מגדל העמק,ת.ד. 73 מגדל העמק,04-6544800,,29/11/2018
5026174,קיי אנד די דיזיין,ברקן,השוהם 8 ברקן,03-9066800,,29/11/2018
5026175,"דובק בע""מ",פתח תקוה,"מרתין גהל 9 פ""ת",03-9265050,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5026176,קריסטל ויז'ן,סמר,קיבוץ,08-6356763,,29/11/2018
5026177,דוברת תעשיות 1979 בעמ,,הטוחן 23 פ. תעשיות קיסר,04-6277055,,29/11/2018
5026178,פול דיזיין,חיפה,חלוצי התעשיה 19 חיפה,04-8491513,,29/11/2018
5026179,אורפלי תאגיד תעשיות שיש ב,נצרת עילית,"א""ת ג. נצרת תד 508",04-6081276,,29/11/2018
5026180,"פולירית אגש""ח בע""מ",זיקים,ד.נ חוף אשקלון,08-6746616,,29/11/2018
5026181,בטרפלי,תל אביב יפו,דוד אבידן 20/3,03-6480392,,29/11/2018
5026182,ספיידר טק,תל אביב יפו,דרך השלום 7,03-6090841,,29/11/2018
5026183,פרשל,צור משה,מושב צור משה,09-8945493,,29/11/2018
5026184,"אנליט בע""מ",עמק חפר,מפעלי גרנות ד.נ. עמק חפר,04-6321394,,29/11/2018
5026185,טל והדס תעשיות,אלון תבור,,,,29/11/2018
5026186,"אפוקול בע""מ",קרית מלאכי,החרושת 30,08-8506096,,29/11/2018
5026187,ק.ל.י ליאור שיווק בעמ,תל אביב יפו,"לה גרדיה 21 ת""א",03- 5373076,,29/11/2018
5026188,איי.או.בי טכנולוגיות,נתניה,"גיבורי ישראל 24א""ת נתנ",09-8357679,,29/11/2018
5026189,לא פעיל,תל אביב יפו,קהילת ניו יורק 36,03-6390670,,29/11/2018
5026190,שותפות צמנטכל סולל,נתניה,יד חרוצים 6,09-8632222,,29/11/2018
5026191,דוודים וצינורות תעשיות אנ,גדרה,א.ת כנות  תד 7013,08-8598111,,29/11/2018
5026192,"ניסן אוויאשן בע""מ",נתניה,הקדר 19 תד 13606,09-8624042,,29/11/2018
5026193,אביאור תעשיות מתכת,ראש העין,העבודה 1 ראש העין,,,29/11/2018
5026194,הטכנית של זאב,ברקן,האודם 6/3 א.ת ברקן,,,29/11/2018
5026195,אל אנד אם ישראל אופרי,רחובות,תד 4111,08-9369000,,29/11/2018
5026196,פולדי אספקה טכנית,,עין דור 9,,,29/11/2018
5026197,קפריס פרופשיונל,חדרה,הרברט סמואל 11,04-6342226,,29/11/2018
5026198,"או.די.אפ  אופטרוניקס בע""מ",תל אביב יפו,יגאל אלון 65 בנין טויוטה,03-6255870,,29/11/2018
5026199,רגב תעשיות נירוסטה,מעלות,פ. תעשיות קורן מעלות,04-9575655,,29/11/2018
5026200,"מיסטר קליפס בע""מ",קרית גת,שד' לכיש 7/10 תד 830,077-6182728,,29/11/2018
5026201,מיקרון אי.אם.אי בעמ,הוד השרון,הסדן 19,09-7674611,,29/11/2018
5026203,"טמפו משקאות בע""מ",נתניה,"א""ת חדש תד 127",09-8630630,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5026204,"מפל אגש""ח בע""מ",מבוא חמה,קיבוץ מבוא חמה,04-6764555,תעשיה כימית,29/11/2018
5026205,אן. סי. איי.,ראש העין,המלאכה 19 ראש העין,03-9020707,,29/11/2018
5026206,שחר ציוד טכני,נהריה,וייצמן 109/2 תד 12125,04-9511389,,29/11/2018
5026207,"איל אוורור תעשייתי בע""מ",קרית ביאליק,אגוז 32 קרית ביאליק,04-8766750,,29/11/2018
5026209,גו נטוורקס גו-נט-סיסטם,תל אביב יפו,הברזל 38 קומה 3,,,29/11/2018
5026210,שניידרמן,רוחמה,סטודיו קיבוץ,054-4535379,,29/11/2018
5026211,"אלקטרה בע""מ",נתניה,הגביש 6 א.ת פולג  תד 8326,09-8927700,,29/11/2018
5026212,"אביט מכניקה עדינה בע""מ",שלומי,"א""ת  תד 61",04-9808173,,29/11/2018
5026213,"דיגיטל קאט אור בע""מ",משגב,תד 28,04-9913020,,29/11/2018
5026214,"גילטק מיכשור בע""מ",ראשון לציון,בשארי סעדיה ויוסף 6/3,03-5064047,,29/11/2018
5026215,ר.א . ברק טכנולוגיה ב,באר שבע,תד 2255,08-6282211,,29/11/2018
5026216,"סודה סטרים תעשיות בע""מ",לוד,תד 280,02-5880500,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5026217,נביעות,קרית שמונה,,,,29/11/2018
5026218,"מד אפק בע""מ",אפק,דואר אפק,04-8784155,,29/11/2018
5026219,יד שרה,ירושלים,שדרות הרצל 124,02-6444444,,29/11/2018
5026220,"יהודה פלדות בע""מ",אשדוד,המצפן 1,054-5380287,,29/11/2018
5026221,"יוסי עובדיה הנדסה בע""מ",קרית גת,"א""ת מבוא סיון 10",08-6600046,,29/11/2018
5026222,שחר גרופ טכנולוגיות ב,נשר,"המסילה 19 א""ת נשר",,,29/11/2018
5026223,"ריאו ביח""ר לגלידה בעמ",נתניה,"א""ת נתניה תד 13281",09-8823023,,29/11/2018
5026224,דב ספרסקי,הוד השרון,הוד השרון ת.ד .223,054-6565992,,29/11/2018
5026225,נאנו ויברוניקס,נשר-בניין הוט קומה 6,דרך השלום 9 תד 515 נשר בניין הוט-קומה 6,04-8200581,,29/11/2018
5026226,איי.אי.אס מע' מתקדמות,טירת כרמל,האתגר 2טירת הכרמל,,,29/11/2018
5026227,"טריטק21 תעשיות בע""מ",קדימה,תד 5062,09-8946111,,29/11/2018
5026228,מן-קן 87-חפירות וצנרת,נווה ירק,מושב נוה ירק,03-9388854,,29/11/2018
5026229,"אגם אביזרי אינסטלציה  בע""",אשדוד,תד 12768,08-8561467,,29/11/2018
5026230,"רייסאט אנטנה סיסטם בע""מ",פתח תקוה,יגיע כפיים 21,8-9393222,,29/11/2018
5026231,יו.סי.לט,כרמיאל,מעלה כמון 44כרמיאל,,,29/11/2018
5026232,אלי ברי,רמת גן,"אלוף דוד 48 ר""ג",,,29/11/2018
5026233,"דלקיה אנרגיה ושירותים בע""",הרצליה,שד' אבא אבן 1 כניסה B,09-9520066,,29/11/2018
5026234,יניר כימיה,חדרה,תד 19113,04-6301304,,29/11/2018
5026235,דיינטומיקס,חיפה,שד' ההסתדרות 99 חיפה,,,29/11/2018
5026236,סלוצקי ליווי ופתוח,זכרון יעקב,החיטה 32 זכרון יעקב,04-6620297,,29/11/2018
5026237,נגב קרמיקה,ירוחם,"א""ת ירוחם",08-6590411,,29/11/2018
5026238,"ספרינג הלת' סולושנס בע""מ",טירת כרמל,הסדנה 3 קומה 2,073-2507100,,29/11/2018
5026239,"רובעטק בע""מ",ירושלים,הרב קוק 8,02-6243467,,29/11/2018
5026240,סטארלייט,ראשון לציון,"פלטין 1 א""ת חדש ראשל""צ",03-9410555,,29/11/2018
5026241,המרכז הרפואי שערי צדק,ירושלים,ירושליםת.ד .3235,02-6555022,,29/11/2018
5026242,"פלדטראק סוכנויות בע""מ",חולון,המרכבה 36,03-5579637,,29/11/2018
5026243,"סי. אם. טי. בע""מ",אופקים,בצלאל 7,08-9925580,,29/11/2018
5026244,"מדיס אל בע""מ",לוד,"יודפת 2 א""ת לוד",,,29/11/2018
5026245,מנפטת העמק,מגדל העמק,,052-3765584,,29/11/2018
5026246,ניו פרספקטיבה,חולון,הבנאי 40,03-5588399,,29/11/2018
5026247,שורץ - כל עבודה,תל אביב יפו,"יצחק שדה 21 ת""א",03-5617685,,29/11/2018
5026248,"אטלנטיום טכנולוגיות בע""מ",בית שמש,תד 11071,02-9925001,יצרן ציוד ומיכון,29/11/2018
5026249,ארבל הפקות,ירושלים,מקור חיים  48/8,,,29/11/2018
5026250,"קינטיק אלקטרומכניקה בע""מ",כפר סבא,"התעש 10 כ""ס תד 2089",09-7660046,,29/11/2018
5026251,טכנו כהן אספקה טכנית,ראשון לציון,לישנסקי 10,057-7550901,,29/11/2018
5026252,"אומן הנדסה בע""מ",תל אביב יפו,"איציק מאנגר 3 ת""א",03-5236162,,29/11/2018
5026253,"יצחק דרעי בע""מ",חיפה,האשלג 16 תד 10880,04-8401901,,29/11/2018
5026254,ד.סדן,שדרות,"א""ת",08-6891863,,29/11/2018
5026255,"עודד אספקה טכנית בע""מ",חיפה,ההסתדרות 20 מ. חיפה,,,29/11/2018
5026256,פרוקסי אוויאיישן,תל אביב יפו,אחד העם 9,03-5177762,,29/11/2018
5026257,"יהוא חרסיות בע""מ",באר שבע,ת.ד. 7104,08-6589888,,29/11/2018
5026258,"נוה עיבוד שבבי בע""מ",קדימה,החשמל 2 א.ת תד 5006,09-8913090,,29/11/2018
5026259,"י. עמית מערכות בע""מ",פתח תקוה,"יחיאל דרזנר 5 א""ת סגולה",03-9300055,,29/11/2018
5026260,צנורות המזרח התיכון,רמלה,"א""ת עכו  תד 62",04-9550295,,29/11/2018
5026261,"גבי שואף בע""מ",יבנה,הירקון 34 א.ת. צפוני יבנ,,,29/11/2018
5026262,"אקו טק שר' סביבה בע""מ",באר שבע,העמל 3,08-6283690,,29/11/2018
5026263,קיי. איי. איי-KAA הרכבות אלקטרוניקה,,המסילה 22 א' נשר ,04-8200888,,29/11/2018
5026264,"ל.מ. אלקטרוטכניקה בע""מ",קרית מלאכי,חלוצי תעשיה 5,,,29/11/2018
5026265,"אינקשור בע""מ",רחובות,הלל וחנן אופנהיימר 5,08-9365583,,29/11/2018
5026266,"גי. אל.וי אינט' בע""מ",מעלות,ת.ד. 9017 מעלות תד 9017,04-9571715,,29/11/2018
5026267,מוזיאון מאנה כץ,חיפה,יפה נוף 89,04-8383482,,29/11/2018
5026268,כיתן  דימונה,דימונה,"א""ת דימונה",08-6504232,,29/11/2018
5026269,המוסך של אילן,נתניה,פנקס 35,052-3509814,,29/11/2018
5026270,"קליל תעשיות בע""מ",כרמיאל,ת.ד659. כרמיאל תד 659,04-9900229,,29/11/2018
5026271,טוליפ ביוטכנולוגיות,,דוד אבידן 20/3,054-4644074,,29/11/2018
5026272,ארן מחקר -לא לשימוש,,האשל 43 קיסריה ת.ד 3067,04-6239000,,29/11/2018
5026273,שמואל חן,,ת.ד. 1341,08-6460935,,29/11/2018
5026274,"שמן תעשיות בע""מ",קרית ביאליק,"א""ת קרית ביאליק תד 1439",04-9852014,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5026275,"סולתא בע""מ",אשקלון,חוצות היוצר 40,08-6744051,,29/11/2018
5026276,"מילוטל ירקות מוקפאים בע""מ",לימן,גליל מע' ליד מושב לימן,,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5026277,געש כלי יהלום,קיסריה,תד 3140,04-6231001,,29/11/2018
5026278,"קונלוג בע""מ",פתח תקוה,המפלסים 17 תד 3571,03-9269595,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
5026279,נטו מאיר עזרא,קרית מלאכי,החרושת 41,08-8608585,,29/11/2018
5026280,בזק חיש אלקטרומכניקה,פתח תקוה,"גיסין 76 ק. אריה פ""ת",03-9221927,,29/11/2018
5026281,מדגרית הרביה -לא לשימוש,יבנה,קבוצת יבנה,08-8548674,,29/11/2018
5026282,"טחנת השרון רוט בע""מ",פתח תקוה,"שטמפפר 125 פ""ת",03-9310336,,29/11/2018
5026283,"אי פיל פארמה בע""מ",קיסריה,הטוחן 2 פ. תעשיה קיסריה,,,29/11/2018
5026284,"אקליכל בע""מ",חיפה,ההסתדרות 249,04-8724665,,29/11/2018
5026285,סמרטק,קיסריה,הסוכן 2 קיסריה,,,29/11/2018
5026286,"גלבוע תע' מיכשור בע""מ",מגן שאול,ד.נ. גלבוע תד 41,04-6400000,יצרן ציוד ומיכון,29/11/2018
5026287,ארדונן תעשיות זיוד (2016),מעלות,א.ת מעלות תד 178,04-9976262,,29/11/2018
5026288,"אלאר מהנדסים בע""מ",רמת השרון,הנביאים 6 תד 353,03-5491110,,29/11/2018
5026289,גרינקס,הרצליה,הנדיב 71,052-4807777,,29/11/2018
5026290,"פלסים תשתיות בע""מ",מרחביה קיבוץ,,04-6598511,תעשיה כימית,29/11/2018
5026891,מדג'נסיס  פרטנרס,תל אביב יפו,"ראול ולנברג 22 א' ת""א",03-6485550,,29/11/2018
5026892,"קמחי כלי עבודה (1994) בע""",באר שבע,תד 2163,08-6230639,סוחר,29/11/2018
5026893,ר.א.ש. רוקח אנרגיה בע,,צפת,04-6973574,,29/11/2018
5026894,ורד מכניקה,נתניה,המסגר 3,09-8625038,,29/11/2018
5026895,"גן שמואל מזון בע""מ",גן שמואל,ד.נ חפר,054-4231707,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5026896,אלגת שרותי גימור תעופ,אלונים,קיבוץ אלונים,04-9838180,,29/11/2018
5026897,ענבל טכנולוגיות,קרית מלאכי,חלוצי התעשיה17,08-8503634,,29/11/2018
5026898,שפית מעבדות ביול' בעמ,שפיים,קיבוץ שפיים,09-9523198,,29/11/2018
5026899,"פישמן הנדסה בע""מ",משגב,פ. תעשיות ברלב,04-9553232,,29/11/2018
5026900,"הולופויינט בע""מ",חדרה,מתחם גרנות חדרה,04-6321106,,29/11/2018
5026901,"קוליברי ספינדל'ס בע""מ",לבון,א.ת לבון בקעת בית הכרם,04-9089100,יצרן ציוד ומיכון,29/11/2018
5026902,"א.ומ גלובוס בע""מ",תל אביב יפו,"קורקידי 22 ת""א נוה עופר",,,29/11/2018
5026903,קלמן זוסמן,תל אביב יפו,"יד חרוצים 8  ת""א",03-6879023,,29/11/2018
5026904,"טי. די .אף בע""מ",,"א""ת טייבה - רחוב ראשי",,,29/11/2018
5026905,טרמקו רבר אנד פלסטיק,נתניה,א.ת.,09-8828691,,29/11/2018
5026906,יונייטד קולור,תל אביב יפו,וסרמן 6,03-6823335,,29/11/2018
5026907,אקטיב מערכות אופטיות,פתח תקוה,שוהם 11 ק. מטלון,03-9236610,,29/11/2018
5026908,ברי שרות הידראוליקה,יפו,הזרם 13,03-6816816,,29/11/2018
5026909,בן ישי שיווק והפצה לחומרי,באר טוביה,ניר 6 אזור תעשיה,08-8580443,,29/11/2018
5026910,"ב.ז.ל מוצרי מתכת בע""מ",פתח תקוה,נחשון 17,03-9347954,,29/11/2018
5026911,"לומוס  בע""מ",נס ציונה,פנחס ספיר 8 - פארק המדע,08-9473361,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
5026912,סי אן סי,ראש העין,המלאכה 19,03-9020777,,29/11/2018
5026913,זיעור,פתח תקוה,"מגשימים 20 מטלון פ""ת",03-9249091,,29/11/2018
5026914,"רותם טכנולוגיות הנדסה בע""",רחובות,"היצירה 10 א""ת רחובות",08-9469823,,29/11/2018
5026915,"כל בו רוק בע""מ",גבעתיים,כורזין 5,03-5712220,,29/11/2018
5026916,איי. אן. טי,ירושלים,התעשיה 8,02-6739990,,29/11/2018
5026917,די. אס. בי,נתניה,המלאכה 12,09-8648000,,29/11/2018
5026918,"א.מ. חווט והרכבות בע""מ",אשדוד,"ההדרים2 א""ת תד 12376",08-8532258,,29/11/2018
5026919,"סיסמטריק בע""מ",,התעשייה 26 ,04-6069700,,29/11/2018
5026920,"אי.אם.סי בע""מ",טירת כרמל,התגר 1  טירת כרמל תד 104,04-8576402,,29/11/2018
5026921,"אל גיר הנדסה בע""מ",נצרת עילית,א. תעשיה ב',04-6561447,,29/11/2018
5026922,"שטראוס עלית בע""מ",נצרת עילית,הגלבוע 5,04-6508288,,29/11/2018
5026923,"י.ע. שהם בע""מ",חיפה,תד 10203,04-8722031,,29/11/2018
5026924,"אורן ושות הנדסת קירור בע""",,מפעלי גרנות  ד.נ חפר,04-6341532,"יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",29/11/2018
5026925,ד.ה.-ויה פתרונות,,,054-4266134,,29/11/2018
5026926,שנקר -לא לשימוש,רמת גן,אנה פרנק 12 רמת גן,03-6110000,,29/11/2018
5026927,ערד הנדסה,ערד,הפלדה 17,08-9953666,,29/11/2018
5026928,"אפרון מכונות בע""מ",פרדס חנה כרכור,"דרך פיק""א תד 1342",04-6371203,,29/11/2018
5026929,"מוצרי עוף טוב בע""מ",בית שאן,בית שאן  ת.ד .348,04-6066524,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5026930,תמיר שרותי צילום,רעננה,ברנר 35,050-5367305,,29/11/2018
5026931,היולט פקרד דפוס תעשייתי ב,נתניה,הצורן 8ב תד 8743,09-8924700,יצרן ציוד ומיכון,29/11/2018
5026932,שחר יובל סחר בינלאומי,פתח תקוה,מרכוס 10,03-9341251,,29/11/2018
5026933,המלבין -לא לשימוש,חולון,היובל 3,03-5593427,,29/11/2018
5026934,"החברה המאוחדת בנמל בע""מ",חיפה,חלוצי התעשיה 118 תד 10755,04-8423368,,29/11/2018
5026935,"ברקאי מערכות בע""מ",רמת גן,קריניצי 5,03-6757673,,29/11/2018
5026936,"סונול - ישראל בע""מ",חיפה,סלמן 6 חוף שמן תד 25021,04-8202106,סוחר,29/11/2018
5026937,אדוה ליה ישראל,תל אביב יפו,יהודה הלוי 8/6 נבה צדק ת,050-8811151,,29/11/2018
5026938,"קרוזטק בע""מ",קרית ביאליק,יוסף לוי 48,04-8747806,,29/11/2018
5026939,ארז כלי עבודה,חיפה,יפו 50 ,04-8521424,,29/11/2018
5026940,"טכנולוגיות תעשייתיות בע""מ",,"א""ת עכו דרום בולטימור 22",04-8403579,,29/11/2018
5026941,"אנקרסמיד בע""מ",יקנעם מושבה,בניין כוכב יוקנעם,04-9937590,,29/11/2018
5026942,שיקומית,ראשון לציון,"ספיר 6 א""ת חדש ראשל""צ",,,29/11/2018
5029643,"שדית הנדסת מיכון בע""מ",תל אביב יפו,תל אביב,09-7442623,,29/11/2018
5029644,ליד איי.פי  מערכות,משגב,פארק תרדיון,04-9991212,,29/11/2018
5029645,קנפי פז תעופה ותירות,חיפה,"חיפה  ת""ד 10447 תד 10447",04-8476188,,29/11/2018
5029646,"כרסומטל בע""מ",קרית אתא,דרך חיפה 33 ק. אתא,04-8726421,,29/11/2018
5029647,"קמרו טק בע""מ",כפר נטר,תד 3521,073-7172303,,29/11/2018
5029648,קולמורגן,פתח תקוה,"יגע כפיים 21 פ""ת",03-9273825,,29/11/2018
5029649,לאפקו תעשיות אלקטרו,נתיבות,תד 354,08-9944975,,29/11/2018
5029650,ספיר שיווק ציוד טכני,אשקלון,הנוטרים  אשקלון,08-6755881,,29/11/2018
5029651,"ד.מ.בנטב בע""מ",פתח תקוה,בן ציון גליס 34 סגולה,03-9345951,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
5029652,"לייט אינסטרומנט בע""מ",יקנעם עילית,"רח התנופה 4 , א.ת.יוקנעם   קומה 2, בניין    CAM מיקוד: 2066717,ת.ד: 223 ",073-2442600,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
5029653,ד.גלעד מתקני אוטומציה,עפולה,מנחם בגין תד 3036,04-6596311,,29/11/2018
5029654,טבת טכנולוגיות,יקנעם עילית,אריה 7 בנין 2 יוקנעם,04-9591775,,29/11/2018
5029655,"סליל המנוע בע""מ",תל חנן,תד 343,04-8215330,,29/11/2018
5029656,"ג'י- סנס בע""מ",טירת כרמל,הסדנא 3 א. תעשיה תד 15020,04-8550652,,29/11/2018
5029657,אקסדרון,רחובות,אלי הורוביץ 19 בית גל,08-9466211,,29/11/2018
5029658,מדיקו 2000,קיסריה,תד 150,052-2546607,,29/11/2018
5029659,"ענבר מתכות בע""מ",עכו,בנין הדקלים עכו דרום,,,29/11/2018
5029660,"אתגל אשדוד בע""מ",אשדוד,"א""ת צפוני אשדוד תד 12483",08-8537778,,29/11/2018
5029661,חשב. שנפתח בזמן עדכון,,,,,29/11/2018
5029662,מיקרו - די,נצרת,"א""ת ציפורית נצרת",,,29/11/2018
5029663,"לייטון בע""מ",חמד,מושב חמד תד 70,03-9601212,,29/11/2018
5029664,"אינסייטק בע""מ",טירת כרמל,נחום חת 5,04-8131313,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
5029665,"יישומי הנדסה בע""מ",חיפה,קדרון 6 חיפה,,,29/11/2018
5029666,"בנטל גרפיק בע""מ",ראש העין,המלאכה 8 ראש העין,03-9037006,,29/11/2018
5029667,"דיפ טק בע""מ",כפר סבא,עתיר ידע  5  ג'  כפר סבא,09-7908400,יצרן ציוד ומיכון,29/11/2018
5029668,"ניות (אנדוקרוס) בע""מ",יקנעם עילית,תד 620,04-9090000,,29/11/2018
5029669,אס.אפ.אם,ירושלים,,02-9309329,,29/11/2018
5029670,רכש שרותי הספקה,ערבה,פ. תעשיות מדע-תמד ד.נ. ער,08-6558045,,29/11/2018
5029671,"פיבר טכניק בע""מ",באר שבע,קוצר 16,08-9282182,,29/11/2018
5029672,"א. רבונה ציוד רפואי בע""מ",חולון,הלהב  6,03-5581258/,,29/11/2018
5029673,"דאבליו בי.טי.בע""מ",רמת גן,שוטנשטיין תד 1516,03-5354148,,29/11/2018
5029674,"ארקה ישראל בע""מ",חולון,הבנאי 29 חולון תד 1055,03-5502525,,29/11/2018
5029675,ביומטריקס,ירושלים,קר' מדע 4 הר החוצבים ים,02-5861241,,29/11/2018
5029676,"וטמד בע""מ",,תד 86,04-9820193,,29/11/2018
5029677,"אוגר-הידר' גד ונדרהורן תעשיות בע""מ",חיפה,השיש 37 מ. חיפה,04-8720513,סוחר,29/11/2018
5029678,אור אספקה טכנית,חצור הגלילית,הבוסתן28,04-6935301,,29/11/2018
5029679,"כלמוביל יונדאי בע""מ",ראש העין,עמל 22 ראש העין,0505285747,,29/11/2018
5029680,"א.ח.מ טופ גיר בע""מ",פתח תקוה,"מודיעין16 א.ת סגולה פ""ת",03-9342148,,29/11/2018
5029681,"ארזים מערכות תקשורת בע""מ",פתח תקוה,האלוף דוד מרכוס 54,03-9309143,,29/11/2018
5029682,מטל שלומי,באר יעקב,האנקור 11,03-5503883,,29/11/2018
5029683,בן אברהם אוטומטים,תל אביב יפו,"ת""א יגאל אלון 120",03-6917022,,29/11/2018
5029684,"סנפרוסט בע""מ",מגדל העמק,א.ת. דרומי תד 747,04-6449800,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5029685,"פאוור קומפרסורים בע""מ",תל אביב יפו,"קיבוץ גלויות 77 ת""א",03-6395034,,29/11/2018
5029686,"גלוז אלקטרוניקה בע""מ",ראש העין,המרץ 15,03-9023456,,29/11/2018
5029687,"סי.אמ.איי בע""מ",שדרות,"א""ת חדש שדרות תד 500",08-6899772,,29/11/2018
5029688,מתן מדפסות דיגיטליות (200,ראש העין,"עמל 14 א""ת חדש",03-9002720,יצרן ציוד ומיכון,29/11/2018
5029689,טבעול לוחמי הגטאות,לוחמי הגיטאות,ד.נ גליל מערבי,04-9933885,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
5029690,וינטר חיים תע' פוליאו,קרית ביאליק,בעלע המלאכה 3/8 ק.ביאלי,04-8764289,,29/11/2018
5029691,"איי.פי.יו תעשיות בע""מ",יבנה,תד 98,08-9437373,,29/11/2018
5029692,"ע.ע.ב.תע' קרור בע""מ",,גיבורי ישראל 30 פולג נת,09-8355404,,29/11/2018
5029693,"אלבטרוניקס בע""מ",עומר,תד 3016,08-6408000,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
5029694,פלא קור הנדסת קרור,חולון,המשביר 14,052-2440564,,29/11/2018
5029695,בלומבר תקש' מתקדמת בע,ראש העין,העבודה 11 ראש העיןי,03-9021350,,29/11/2018
5029696,"טק מרין שרותים בע""מ",חיפה,המלאכה 26 חוף שמן חיפה,04-8650077,סוחר,29/11/2018
5029697,גופים הנדסיים פלסטיים,ערד,"הפלדה 19 א""ת ערד",08-9973568,,29/11/2018
5029698,"קל-אל בע""מ",חיפה,קיבוץ גליות28 חיפה,050-4693080,,29/11/2018
5029699,"ורטיקל בע""מ",יבנה,חבצלת החוף 5,08-9434050,,29/11/2018
5029700,"זיגו ובניו בע""מ",פרדס חנה כרכור,עציון 86 פרדס חנה,057-8346305,,29/11/2018
5029701,אסתילון,פתח תקוה,"שנקר 26 ק""א פ""ת תד 1018",03-9221824,,29/11/2018
5029702,"ויסוצקי ישראל בע""מ",תל אביב יפו,החשמונאים 103 תד 147,04-6653018,,29/11/2018
5029703,"אל-פלו בע""מ",תנובות,תד 159,09-8986605,,29/11/2018
5029704,"פלאפון תקשורת בע""מ",גבעתיים,דרך יצחק רבין 33,03-5728914,,29/11/2018
5030000,מזרחי דויד,בית דגן,החרמון 39,,,29/11/2018
5030001,אורי תוכנה,אשקלון,תד 677,08-6744421,,29/11/2018
5030002,"ורטקס הנדסה בע""מ",ראש העין,המלאכה 6 פארק אפק,03-9021315,,29/11/2018
5030003,לומיאו-לא פעיל,מודיעין,המעיין 4  קומה 3 ליגד ס,08-9758646,,29/11/2018
5030004,וירטואל פורטס,אור עקיבא,ההדס 9,04-6277506,,29/11/2018
5030005,פרוסול,קרית חיים,בלינסון 28,,,29/11/2018
5030006,"אלמה אלקטרוניקה ישראל בע""",פתח תקוה,מודיעין 34,03-9305025,,29/11/2018
5030007,אודיו מדיק,תל אביב יפו,פרישמן 69,03-5225223,,29/11/2018
5030008,"ארוסקאוט בע""מ",נס ציונה,אילן רמון 2 פארק המדע,08-9369349,,29/11/2018
5030009,"ארבל- תעשיות מתכת 92 בע""מ",עכו,"בלטימור א""ת עכו דרום",04-9552233,,29/11/2018
503001,ישראטרם  לא לשימוש,רמת השרון,הנביאים 96,03-5474696,,29/11/2018
5030010,"שלהב בע""מ",יפעת,,04-6548166,,29/11/2018
5030011,"תע""א - מרכז הנדסה",,"נתב""ג לוד",03-9357595,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
5030012,"רידנט-נובה בע""מ",רעננה,התעשיה 15 תד 4159,09-7445130,,29/11/2018
5030014,"זיווד ומארזי מתכת בע""מ",חולון,הנפח 17,03-5561090,יצרן ציוד ומיכון,29/11/2018
